1 0.045 0.621 × 10−6 0.803 0.080 — 5.05 1.50 7.29 8.99 2.83 2.28 1.14 9.77 301
2 0.065 0.897 × 10−6 0.803 0.111 — 2.97 1.50 6.27 7.10 2.78 2.11 1.21 8.00 301
3 0.065 0.102 × 10−5 0.706 0.111 — 4.69 1.50 5.98 7.75 3.56 1.16 1.47 8.73 301
4 0.085 0.117 × 10−5 0.805 0.136 — 2.95 1.50 5.54 6.45 2.57 2.12 1.37 7.39 301
5 0.085 0.134 × 10−5 0.703 0.130 — 2.27 1.50 4.01 4.85 1.80 1.57 1.00 5.49 301
6 0.085 0.156 × 10−5 0.604 0.126 — 4.78 1.50 4.52 6.75 1.03 0.76 0.24 6.87 301
7 0.1 0.151 × 10−5 0.808 0.165 — 3.48 1.50 5.49 6.67 3.16 1.97 1.73 7.83 301
8 0.1 0.173 × 10−5 0.705 0.166 — 1.81 0.99 3.25 3.85 2.28 1.33 0.99 4.77 301
9 0.1 0.202 × 10−5 0.604 0.157 — 1.79 0.89 2.43 3.15 1.62 0.67 0.49 3.64 301
10 0.1 0.243 × 10−5 0.502 0.149 0.154 3.75 1.50 3.49 5.34 1.11 0.46 0.20 5.48 301
11 0.15 0.207 × 10−5 0.803 0.228 — 4.35 1.50 4.58 6.49 2.37 1.94 1.75 7.39 301
12 0.15 0.236 × 10−5 0.705 0.199 — 2.01 1.02 3.05 3.79 1.71 1.60 0.74 4.52 301
13 0.15 0.276 × 10−5 0.603 0.201 — 1.62 0.92 2.24 2.91 1.40 0.87 0.38 3.37 301
14 0.15 0.331 × 10−5 0.502 0.201 0.207 1.53 0.78 2.10 2.71 1.31 0.19 0.34 3.04 301
15 0.15 0.414 × 10−5 0.402 0.187 0.190 1.97 0.83 2.32 3.15 0.82 0.11 0.17 3.27 301
16 0.15 0.502 × 10−5 0.295 0.185 0.187 3.79 1.50 3.59 5.43 1.33 −0.24 0.32 5.60 319
17 0.2 0.315 × 10−5 0.704 0.250 — 2.48 0.94 2.96 3.98 1.89 1.50 0.99 4.76 301
18 0.2 0.368 × 10−5 0.603 0.246 — 1.98 0.94 2.10 3.04 1.39 0.72 0.37 3.44 301
19 0.2 0.441 × 10−5 0.503 0.240 0.247 1.62 0.74 1.97 2.66 1.15 0.36 0.17 2.92 301
20 0.2 0.552 × 10−5 0.402 0.235 0.240 1.48 0.65 1.84 2.45 1.18 0.04 0.30 2.74 301
21 0.2 0.669 × 10−5 0.295 0.227 0.229 1.65 0.78 1.63 2.45 0.86 −0.24 0.10 2.61 319
22 0.2 0.849 × 10−5 0.233 0.224 0.225 1.61 0.61 2.13 2.74 1.06 −0.19 0.27 2.96 319
23 0.2 0.110 × 10−4 0.180 0.208 0.209 2.78 1.50 2.79 4.21 0.95 −0.21 0.26 4.33 319
24 0.2 0.398 × 10−4 0.050 0.211 0.211 14.92 11.94 5.17 19.8 −0.54 −3.10 −4.60 20.57 319
25 0.2 0.251 × 10−3 0.008 0.181 0.181 13.45 6.17 2.96 15.1 −0.03 −1.23 2.59 15.36 319
